feature,pearson_correlation,abs_pearson_correlation,missing_rate_before_fill
B2侧容量风量负荷162,0.8709478979355414,0.8709478979355414,0.016689847009735744
B2侧一次风量156,0.8705029080833923,0.8705029080833923,0.031988873435326845
B2侧容量风量161,0.870249697553651,0.870249697553651,0.019471488178025034
B磨B2侧风量定值218,0.870219092393927,0.870219092393927,0.030598052851182198
B磨总一次风量164,0.8685639060786451,0.8685639060786451,0.02642559109874826
A2侧一次风量140,0.8645847880462683,0.8645847880462683,0.02642559109874826
A磨A2侧风量定值207,0.8640613121185194,0.8640613121185194,0.02642559109874826
末级再热器横向第67排的_1管管壁温度_357,0.8617316312388194,0.8617316312388194,0.031988873435326845
B磨B2侧风量偏置217,0.8578834357326907,0.8578834357326907,0.02642559109874826
一次粉管A12煤粉浓度_73,0.8424970577659202,0.8424970577659202,0.0584144645340751
A磨A2侧风量偏置206,0.8371535182328005,0.8371535182328005,0.02642559109874826
A2侧容量风量145,0.8257139461552359,0.8257139461552359,0.02642559109874826
A2侧容量风量负荷146,0.8253966096013278,0.8253966096013278,0.02642559109874826
磨煤机A一次风总风量_A2侧_192,0.8218818670321062,0.8218818670321062,0.2753824756606398
给煤机B1给煤量信号120,0.8088471063517412,0.8088471063517412,0.04033379694019471
修正后汽包水位240,-0.7940522879134875,0.7940522879134875,0.02920723226703755
末级再热器入口烟气温度B_359,0.7779558450946741,0.7779558450946741,0.2239221140472879
末级再热器入口烟气温度A_358,0.7779398807874853,0.7779398807874853,0.2239221140472879
给煤机B1煤量指令132,0.7746759116780936,0.7746759116780936,0.10848400556328233
末级再热器横向第2排的_1管管壁温度_344,0.7627811642000302,0.7627811642000302,0.04450625869262865
摆角调节下限283,0.7457754251612121,0.7457754251612121,0.38803894297635605
摆角调节上限284,0.7457754251612121,0.7457754251612121,0.38803894297635605
摆角平均位置280,0.7396678109167806,0.7396678109167806,0.39221140472878996
B磨B1侧风量定值214,0.7355018572401718,0.7355018572401718,0.02642559109874826
B1侧一次风量152,0.7354003367313078,0.7354003367313078,0.02642559109874826
给煤机B2给煤量信号127,0.7202081204463805,0.7202081204463805,0.0458970792767733
给煤机B2给煤量信号126,0.7196524382463231,0.7196524382463231,0.0458970792767733
给煤机B1给煤量信号121,0.7044113501991007,0.7044113501991007,0.04728789986091794
给煤机B2煤量指令133,0.692512378502871,0.692512378502871,0.043115438108484005
末级再热器横向第62排的_1管管壁温度_356,0.6760515664871762,0.6760515664871762,0.030598052851182198
B1侧容量风量负荷155,0.6741509294599283,0.6741509294599283,0.02642559109874826
C2侧容量风量173,0.6738869463040374,0.6738869463040374,0.29207232267037553
B1侧容量风量154,0.6722981810788696,0.6722981810788696,0.02642559109874826
给煤机A2煤量指令131,0.6627042787146789,0.6627042787146789,0.030598052851182198
末级再热器横向第7排的_1管管壁温度_345,0.6619368552611591,0.6619368552611591,0.03337969401947149
末级再热器横向第22排的_1管管壁温度_348,0.6604333688928404,0.6604333688928404,0.03616133518776078
C2侧容量风量负荷174,0.6576061944184085,0.6576061944184085,0.2865090403337969
屏式再热器横向第33片屏排_1管管壁温度_343,0.6416481394838518,0.6416481394838518,0.01808066759388039
B磨B1侧风量偏置213,0.6393913855384693,0.6393913855384693,0.02642559109874826
末级再热器横向第57排的_1管管壁温度_355,0.6365191726615147,0.6365191726615147,0.022253129346314324
给煤机A1煤量指令130,0.6324529356577709,0.6324529356577709,0.01808066759388039
末级再热器横向第52排的_1管管壁温度_354,0.6304079047651524,0.6304079047651524,0.02086230876216968
给煤机A2给煤量信号124,0.6266613192039836,0.6266613192039836,0.02920723226703755
给煤机A2给煤量信号125,0.6260223415200987,0.6260223415200987,0.02920723226703755
给煤机A1给煤量信号119,0.620233361320208,0.620233361320208,0.02642559109874826
给煤机A1给煤量信号118,0.6189221829147339,0.6189221829147339,0.02920723226703755
一次粉管B13煤粉浓度91,0.6059660351359062,0.6059660351359062,0.09596662030598054
一次粉管B14煤粉浓度93,0.6054670061559955,0.6054670061559955,0.10013908205841446
一次粉管B12煤粉浓度89,0.6003198939506339,0.6003198939506339,0.10013908205841446
再热器减温器进口A汽温313,0.5572921114613864,0.5572921114613864,0.06397774687065369
再热器减温器进口B汽温314,0.5543402100089667,0.5543402100089667,0.06536856745479833
